Date,Attendance,Team,City,League,Both Leagues
4/29/2022,22000,Angel City FC,Los Angeles,NWSL,Yes
5/8/2022,17510,Angel City FC,Los Angeles,NWSL,Yes
5/21/2022,18514,Angel City FC,Los Angeles,NWSL,Yes
5/29/2022,18784,Angel City FC,Los Angeles,NWSL,Yes
6/7/2022,16739,Angel City FC,Los Angeles,NWSL,Yes
7/1/2022,17492,Angel City FC,Los Angeles,NWSL,Yes
7/9/2022,22000,Angel City FC,Los Angeles,NWSL,Yes
7/30/2022,22000,Angel City FC,Los Angeles,NWSL,Yes
8/14/2022,17002,Angel City FC,Los Angeles,NWSL,Yes
9/21/2022,16112,Angel City FC,Los Angeles,NWSL,Yes
9/25/2022,22000,Angel City FC,Los Angeles,NWSL,Yes
3/17/2023,22000,Angel City FC,Los Angeles,NWSL,Yes
3/26/2023,22000,Angel City FC,Los Angeles,NWSL,Yes
4/15/2023,18007,Angel City FC,Los Angeles,NWSL,Yes
4/21/2023,22000,Angel City FC,Los Angeles,NWSL,Yes
4/23/2023,22000,Angel City FC,Los Angeles,NWSL,Yes
4/26/2023,19178,Angel City FC,Los Angeles,NWSL,Yes
5/7/2023,19219,Angel City FC,Los Angeles,NWSL,Yes
5/12/2023,18037,Angel City FC,Los Angeles,NWSL,Yes
5/13/2023,17427,Angel City FC,Los Angeles,NWSL,Yes
5/23/2023,19103,Angel City FC,Los Angeles,NWSL,Yes
6/5/2023,16682,Angel City FC,Los Angeles,NWSL,Yes
6/19/2023,16735,Angel City FC,Los Angeles,NWSL,Yes
6/25/2023,22000,Angel City FC,Los Angeles,NWSL,Yes
6/30/2023,22000,Angel City FC,Los Angeles,NWSL,Yes
7/9/2023,17876,Angel City FC,Los Angeles,NWSL,Yes
8/27/2023,22000,Angel City FC,Los Angeles,NWSL,Yes
10/2/2023,18102,Angel City FC,Los Angeles,NWSL,Yes
10/15/2023,22000,Angel City FC,Los Angeles,NWSL,Yes
3/17/2024,22000,Angel City FC,Los Angeles,NWSL,Yes
4/21/2024,22000,Angel City FC,Los Angeles,NWSL,Yes
4/26/2024,19178,Angel City FC,Los Angeles,NWSL,Yes
5/12/2024,18037,Angel City FC,Los Angeles,NWSL,Yes
5/23/2024,19103,Angel City FC,Los Angeles,NWSL,Yes
6/19/2024,16735,Angel City FC,Los Angeles,NWSL,Yes
6/30/2024,22000,Angel City FC,Los Angeles,NWSL,Yes
3/5/2017,55297,Atlanta United FC,Atlanta,MLS,
3/18/2017,45922,Atlanta United FC,Atlanta,MLS,
4/30/2017,46011,Atlanta United FC,Atlanta,MLS,
5/20/2017,44893,Atlanta United FC,Atlanta,MLS,
5/28/2017,44901,Atlanta United FC,Atlanta,MLS,
6/17/2017,44922,Atlanta United FC,Atlanta,MLS,
6/24/2017,44938,Atlanta United FC,Atlanta,MLS,
7/4/2017,44974,Atlanta United FC,Atlanta,MLS,
7/29/2017,45006,Atlanta United FC,Atlanta,MLS,
9/10/2017,45314,Atlanta United FC,Atlanta,MLS,
9/13/2017,42511,Atlanta United FC,Atlanta,MLS,
9/16/2017,70425,Atlanta United FC,Atlanta,MLS,
9/20/2017,42723,Atlanta United FC,Atlanta,MLS,
9/24/2017,43502,Atlanta United FC,Atlanta,MLS,
9/27/2017,43006,Atlanta United FC,Atlanta,MLS,
10/3/2017,43185,Atlanta United FC,Atlanta,MLS,
10/22/2017,71874,Atlanta United FC,Atlanta,MLS,
3/11/2018,72035,Atlanta United FC,Atlanta,MLS,
3/17/2018,45003,Atlanta United FC,Atlanta,MLS,
4/7/2018,45207,Atlanta United FC,Atlanta,MLS,
4/15/2018,45001,Atlanta United FC,Atlanta,MLS,
4/28/2018,45039,Atlanta United FC,Atlanta,MLS,
5/9/2018,44696,Atlanta United FC,Atlanta,MLS,
5/20/2018,45089,Atlanta United FC,Atlanta,MLS,
6/2/2018,45140,Atlanta United FC,Atlanta,MLS,
6/24/2018,45116,Atlanta United FC,Atlanta,MLS,
6/30/2018,71932,Atlanta United FC,Atlanta,MLS,
7/15/2018,72243,Atlanta United FC,Atlanta,MLS,
7/21/2018,45087,Atlanta United FC,Atlanta,MLS,
8/4/2018,45191,Atlanta United FC,Atlanta,MLS,
8/19/2018,45303,Atlanta United FC,Atlanta,MLS,
9/22/2018,72017,Atlanta United FC,Atlanta,MLS,
10/6/2018,45122,Atlanta United FC,Atlanta,MLS,
10/21/2018,71812,Atlanta United FC,Atlanta,MLS,
3/10/2019,70382,Atlanta United FC,Atlanta,MLS,
3/17/2019,42651,Atlanta United FC,Atlanta,MLS,
4/20/2019,43351,Atlanta United FC,Atlanta,MLS,
4/27/2019,43005,Atlanta United FC,Atlanta,MLS,
5/8/2019,42537,Atlanta United FC,Atlanta,MLS,
5/12/2019,68152,Atlanta United FC,Atlanta,MLS,
5/29/2019,42703,Atlanta United FC,Atlanta,MLS,
6/1/2019,67502,Atlanta United FC,Atlanta,MLS,
6/29/2019,44627,Atlanta United FC,Atlanta,MLS,
7/7/2019,68077,Atlanta United FC,Atlanta,MLS,
7/17/2019,42557,Atlanta United FC,Atlanta,MLS,
7/21/2019,44405,Atlanta United FC,Atlanta,MLS,
8/3/2019,72548,Atlanta United FC,Atlanta,MLS,
8/11/2019,44052,Atlanta United FC,Atlanta,MLS,
9/14/2019,68046,Atlanta United FC,Atlanta,MLS,
9/21/2019,43451,Atlanta United FC,Atlanta,MLS,
10/6/2019,44617,Atlanta United FC,Atlanta,MLS,
2/27/2022,"67,523",Atlanta United FC,Atlanta,MLS,
3/13/2022,"43,055",Atlanta United FC,Atlanta,MLS,
3/19/2022,"42,578",Atlanta United FC,Atlanta,MLS,
4/16/2022,"42,948",Atlanta United FC,Atlanta,MLS,
4/30/2022,"42,547",Atlanta United FC,Atlanta,MLS,
5/7/2022,"42,516",Atlanta United FC,Atlanta,MLS,
6/19/2022,"42,539",Atlanta United FC,Atlanta,MLS,
7/17/2022,"42,526",Atlanta United FC,Atlanta,MLS,
7/30/2022,"42,561",Atlanta United FC,Atlanta,MLS,
8/17/2022,"42,555",Atlanta United FC,Atlanta,MLS,
9/10/2022,"42,670",Atlanta United FC,Atlanta,MLS,
9/17/2022,"42,521",Atlanta United FC,Atlanta,MLS,
10/9/2022,"43,312",Atlanta United FC,Atlanta,MLS,
2/25/2023,"67,538",Atlanta United FC,Atlanta,MLS,
3/4/2023,"42,817",Atlanta United FC,Atlanta,MLS,
3/18/2023,"42,648",Atlanta United FC,Atlanta,MLS,
4/1/2023,"43,511",Atlanta United FC,Atlanta,MLS,
4/23/2023,"43,335",Atlanta United FC,Atlanta,MLS,
5/13/2023,"43,427",Atlanta United FC,Atlanta,MLS,
5/17/2023,"42,587",Atlanta United FC,Atlanta,MLS,
5/31/2023,"42,915",Atlanta United FC,Atlanta,MLS,
6/10/2023,"42,539",Atlanta United FC,Atlanta,MLS,
6/21/2023,"42,557",Atlanta United FC,Atlanta,MLS,
7/2/2023,"43,527",Atlanta United FC,Atlanta,MLS,
7/15/2023,"43,576",Atlanta United FC,Atlanta,MLS,
8/26/2023,"67,514",Atlanta United FC,Atlanta,MLS,
8/30/2023,"42,568",Atlanta United FC,Atlanta,MLS,
9/16/2023,"71,635",Atlanta United FC,Atlanta,MLS,
9/23/2023,"42,569",Atlanta United FC,Atlanta,MLS,
10/7/2023,"42,684",Atlanta United FC,Atlanta,MLS,
3/9/2024,"67,727",Atlanta United FC,Atlanta,MLS,
3/17/2024,"42,631",Atlanta United FC,Atlanta,MLS,
3/31/2024,"42,525",Atlanta United FC,Atlanta,MLS,
4/14/2024,"42,763",Atlanta United FC,Atlanta,MLS,
4/20/2024,"42,600",Atlanta United FC,Atlanta,MLS,
5/4/2024,"43,338",Atlanta United FC,Atlanta,MLS,
5/11/2024,"42,822",Atlanta United FC,Atlanta,MLS,
5/25/2024,"43,128",Atlanta United FC,Atlanta,MLS,
6/2/2024,"61,209",Atlanta United FC,Atlanta,MLS,
6/15/2024,"42,630",Atlanta United FC,Atlanta,MLS,
6/29/2024,"42,568",Atlanta United FC,Atlanta,MLS,
2/25/2023,"20,738",Austin FC,Austin,MLS,
3/4/2023,"20,738",Austin FC,Austin,MLS,
3/25/2023,"20,738",Austin FC,Austin,MLS,
4/15/2023,"20,738",Austin FC,Austin,MLS,
4/29/2023,"20,738",Austin FC,Austin,MLS,
5/13/2023,"20,738",Austin FC,Austin,MLS,
5/20/2023,"20,738",Austin FC,Austin,MLS,
5/31/2023,"20,738",Austin FC,Austin,MLS,
6/3/2023,"20,738",Austin FC,Austin,MLS,
6/21/2023,"20,738",Austin FC,Austin,MLS,
6/24/2023,"20,738",Austin FC,Austin,MLS,
7/15/2023,"20,738",Austin FC,Austin,MLS,
9/17/2023,"20,738",Austin FC,Austin,MLS,
9/24/2023,"20,738",Austin FC,Austin,MLS,
10/4/2023,"20,738",Austin FC,Austin,MLS,
10/7/2023,"20,738",Austin FC,Austin,MLS,
2/24/2024,"20,738",Austin FC,Austin,MLS,
3/9/2024,"20,738",Austin FC,Austin,MLS,
3/16/2024,"20,738",Austin FC,Austin,MLS,
3/30/2024,"20,738",Austin FC,Austin,MLS,
4/6/2024,"20,738",Austin FC,Austin,MLS,
4/27/2024,"20,738",Austin FC,Austin,MLS,
5/15/2024,"20,738",Austin FC,Austin,MLS,
5/18/2024,"20,738",Austin FC,Austin,MLS,
5/29/2024,"20,738",Austin FC,Austin,MLS,
6/19/2024,"20,738",Austin FC,Austin,MLS,
3/17/2024,22000,Bay FC,San Jose,NWSL,
3/30/2024,18000,Bay FC,San Jose,NWSL,
4/14/2024,16719,Bay FC,San Jose,NWSL,
5/1/2024,10611,Bay FC,San Jose,NWSL,
5/5/2024,14317,Bay FC,San Jose,NWSL,
5/17/2024,16930,Bay FC,San Jose,NWSL,
5/24/2024,12643,Bay FC,San Jose,NWSL,
6/16/2024,10367,Bay FC,San Jose,NWSL,
6/22/2024,15640,Bay FC,San Jose,NWSL,
3/16/2013,37896,CF Montreal,Montreal,MLS,
3/23/2013,26259,CF Montreal,Montreal,MLS,
4/14/2013,16584,CF Montreal,Montreal,MLS,
4/27/2013,19773,CF Montreal,Montreal,MLS,
5/11/2013,14578,CF Montreal,Montreal,MLS,
5/25/2013,17104,CF Montreal,Montreal,MLS,
6/19/2013,17694,CF Montreal,Montreal,MLS,
6/29/2013,20383,CF Montreal,Montreal,MLS,
7/7/2013,18932,CF Montreal,Montreal,MLS,
7/20/2013,20801,CF Montreal,Montreal,MLS,
7/27/2013,20527,CF Montreal,Montreal,MLS,
8/17/2013,20801,CF Montreal,Montreal,MLS,
8/24/2013,20801,CF Montreal,Montreal,MLS,
9/14/2013,20210,CF Montreal,Montreal,MLS,
9/21/2013,20006,CF Montreal,Montreal,MLS,
10/12/2013,18917,CF Montreal,Montreal,MLS,
10/19/2013,18993,CF Montreal,Montreal,MLS,
3/23/2014,27207,CF Montreal,Montreal,MLS,
4/5/2014,24071,CF Montreal,Montreal,MLS,
4/12/2014,19313,CF Montreal,Montreal,MLS,
4/26/2014,19075,CF Montreal,Montreal,MLS,
5/10/2014,16529,CF Montreal,Montreal,MLS,
5/31/2014,18068,CF Montreal,Montreal,MLS,
6/11/2014,14135,CF Montreal,Montreal,MLS,
6/29/2014,16752,CF Montreal,Montreal,MLS,
7/12/2014,17155,CF Montreal,Montreal,MLS,
7/27/2014,14715,CF Montreal,Montreal,MLS,
8/2/2014,16665,CF Montreal,Montreal,MLS,
8/16/2014,17132,CF Montreal,Montreal,MLS,
8/30/2014,15995,CF Montreal,Montreal,MLS,
9/10/2014,13916,CF Montreal,Montreal,MLS,
9/20/2014,15800,CF Montreal,Montreal,MLS,
10/11/2014,14389,CF Montreal,Montreal,MLS,
10/25/2014,15242,CF Montreal,Montreal,MLS,
3/28/2015,25245,CF Montreal,Montreal,MLS,
5/9/2015,13020,CF Montreal,Montreal,MLS,
5/16/2015,12158,CF Montreal,Montreal,MLS,
5/23/2015,13020,CF Montreal,Montreal,MLS,
6/3/2015,10035,CF Montreal,Montreal,MLS,
6/20/2015,17820,CF Montreal,Montreal,MLS,
7/4/2015,18112,CF Montreal,Montreal,MLS,
7/11/2015,15304,CF Montreal,Montreal,MLS,
7/25/2015,17209,CF Montreal,Montreal,MLS,
8/5/2015,19213,CF Montreal,Montreal,MLS,
8/8/2015,18769,CF Montreal,Montreal,MLS,
8/22/2015,20801,CF Montreal,Montreal,MLS,
9/5/2015,20801,CF Montreal,Montreal,MLS,
9/19/2015,20801,CF Montreal,Montreal,MLS,
9/23/2015,17832,CF Montreal,Montreal,MLS,
9/26/2015,20801,CF Montreal,Montreal,MLS,
10/25/2015,20801,CF Montreal,Montreal,MLS,
3/12/2016,27545,CF Montreal,Montreal,MLS,
4/9/2016,22053,CF Montreal,Montreal,MLS,
4/23/2016,20801,CF Montreal,Montreal,MLS,
4/30/2016,20801,CF Montreal,Montreal,MLS,
5/14/2016,20801,CF Montreal,Montreal,MLS,
5/28/2016,20801,CF Montreal,Montreal,MLS,
6/25/2016,20032,CF Montreal,Montreal,MLS,
7/2/2016,20279,CF Montreal,Montreal,MLS,
7/17/2016,20801,CF Montreal,Montreal,MLS,
7/23/2016,20801,CF Montreal,Montreal,MLS,
8/6/2016,20801,CF Montreal,Montreal,MLS,
8/20/2016,20801,CF Montreal,Montreal,MLS,
8/24/2016,19740,CF Montreal,Montreal,MLS,
9/7/2016,17389,CF Montreal,Montreal,MLS,
9/17/2016,20801,CF Montreal,Montreal,MLS,
9/28/2016,16318,CF Montreal,Montreal,MLS,
10/16/2016,20801,CF Montreal,Montreal,MLS,
3/11/2017,34373,CF Montreal,Montreal,MLS,
4/15/2017,17144,CF Montreal,Montreal,MLS,
4/29/2017,19597,CF Montreal,Montreal,MLS,
5/13/2017,17508,CF Montreal,Montreal,MLS,
5/20/2017,19138,CF Montreal,Montreal,MLS,
6/3/2017,19032,CF Montreal,Montreal,MLS,
7/1/2017,18707,CF Montreal,Montreal,MLS,
7/19/2017,16660,CF Montreal,Montreal,MLS,
7/22/2017,20481,CF Montreal,Montreal,MLS,
8/5/2017,20801,CF Montreal,Montreal,MLS,
8/16/2017,19894,CF Montreal,Montreal,MLS,
8/19/2017,19541,CF Montreal,Montreal,MLS,
8/27/2017,20801,CF Montreal,Montreal,MLS,
9/2/2017,19619,CF Montreal,Montreal,MLS,
9/16/2017,20801,CF Montreal,Montreal,MLS,
9/27/2017,16005,CF Montreal,Montreal,MLS,
10/22/2017,20681,CF Montreal,Montreal,MLS,
3/17/2018,26005,CF Montreal,Montreal,MLS,
4/21/2018,20302,CF Montreal,Montreal,MLS,
5/5/2018,15622,CF Montreal,Montreal,MLS,
5/12/2018,17140,CF Montreal,Montreal,MLS,
5/21/2018,20801,CF Montreal,Montreal,MLS,
6/2/2018,17512,CF Montreal,Montreal,MLS,
6/13/2018,15621,CF Montreal,Montreal,MLS,
6/30/2018,16142,CF Montreal,Montreal,MLS,
7/7/2018,16030,CF Montreal,Montreal,MLS,
7/14/2018,15485,CF Montreal,Montreal,MLS,
7/28/2018,19064,CF Montreal,Montreal,MLS,
8/4/2018,19152,CF Montreal,Montreal,MLS,
8/18/2018,18831,CF Montreal,Montreal,MLS,
9/1/2018,18458,CF Montreal,Montreal,MLS,
9/22/2018,20801,CF Montreal,Montreal,MLS,
10/6/2018,19015,CF Montreal,Montreal,MLS,
10/21/2018,19684,CF Montreal,Montreal,MLS,
4/13/2019,18634,CF Montreal,Montreal,MLS,
4/28/2019,15758,CF Montreal,Montreal,MLS,
5/4/2019,16961,CF Montreal,Montreal,MLS,
5/18/2019,15559,CF Montreal,Montreal,MLS,
5/29/2019,11966,CF Montreal,Montreal,MLS,
6/1/2019,17018,CF Montreal,Montreal,MLS,
6/5/2019,13037,CF Montreal,Montreal,MLS,
6/26/2019,15167,CF Montreal,Montreal,MLS,
7/6/2019,16796,CF Montreal,Montreal,MLS,
7/13/2019,19619,CF Montreal,Montreal,MLS,
7/27/2019,16344,CF Montreal,Montreal,MLS,
8/17/2019,17509,CF Montreal,Montreal,MLS,
8/28/2019,14513,CF Montreal,Montreal,MLS,
8/31/2019,18285,CF Montreal,Montreal,MLS,
9/14/2019,17159,CF Montreal,Montreal,MLS,
9/29/2019,15557,CF Montreal,Montreal,MLS,
10/6/2019,15022,CF Montreal,Montreal,MLS,
3/5/2022,"13,067",CF Montreal,Montreal,MLS,
4/16/2022,"12,042",CF Montreal,Montreal,MLS,
4/30/2022,"15,060",CF Montreal,Montreal,MLS,
5/7/2022,"14,068",CF Montreal,Montreal,MLS,
5/22/2022,"14,205",CF Montreal,Montreal,MLS,
5/28/2022,"14,225",CF Montreal,Montreal,MLS,
6/18/2022,"15,045",CF Montreal,Montreal,MLS,
6/25/2022,"13,520",CF Montreal,Montreal,MLS,
7/9/2022,"14,127",CF Montreal,Montreal,MLS,
7/16/2022,"19,619",CF Montreal,Montreal,MLS,
7/30/2022,"19,619",CF Montreal,Montreal,MLS,
8/6/2022,"18,007",CF Montreal,Montreal,MLS,
8/20/2022,"19,619",CF Montreal,Montreal,MLS,
8/31/2022,"15,075",CF Montreal,Montreal,MLS,
9/9/2022,"19,619",CF Montreal,Montreal,MLS,
9/13/2022,"11,535",CF Montreal,Montreal,MLS,
10/1/2022,"19,619",CF Montreal,Montreal,MLS,
3/18/2023,"23,352",CF Montreal,Montreal,MLS,
4/15/2023,"16,039",CF Montreal,Montreal,MLS,
4/22/2023,"14,021",CF Montreal,Montreal,MLS,
5/6/2023,"16,112",CF Montreal,Montreal,MLS,
5/13/2023,"19,619",CF Montreal,Montreal,MLS,
5/27/2023,"19,619",CF Montreal,Montreal,MLS,
6/10/2023,"17,030",CF Montreal,Montreal,MLS,
6/21/2023,"16,247",CF Montreal,Montreal,MLS,
7/1/2023,"16,038",CF Montreal,Montreal,MLS,
7/8/2023,"19,619",CF Montreal,Montreal,MLS,
7/15/2023,"18,413",CF Montreal,Montreal,MLS,
8/26/2023,"19,619",CF Montreal,Montreal,MLS,
9/2/2023,"18,358",CF Montreal,Montreal,MLS,
9/16/2023,"19,619",CF Montreal,Montreal,MLS,
9/20/2023,"13,603",CF Montreal,Montreal,MLS,
10/4/2023,"13,509",CF Montreal,Montreal,MLS,
10/7/2023,"17,559",CF Montreal,Montreal,MLS,
4/13/2024,"19,619",CF Montreal,Montreal,MLS,
4/20/2024,"19,619",CF Montreal,Montreal,MLS,
5/11/2024,"19,619",CF Montreal,Montreal,MLS,
5/15/2024,"19,619",CF Montreal,Montreal,MLS,
5/25/2024,"19,619",CF Montreal,Montreal,MLS,
5/29/2024,"19,619",CF Montreal,Montreal,MLS,
6/15/2024,"19,619",CF Montreal,Montreal,MLS,
6/19/2024,"19,619",CF Montreal,Montreal,MLS,
6/29/2024,"19,619",CF Montreal,Montreal,MLS,
2/25/2023,"69,345",Charlotte FC,Charlotte,MLS,
3/11/2023,"31,538",Charlotte FC,Charlotte,MLS,
3/25/2023,"32,540",Charlotte FC,Charlotte,MLS,
4/15/2023,"31,240",Charlotte FC,Charlotte,MLS,
4/22/2023,"30,468",Charlotte FC,Charlotte,MLS,
5/6/2023,"30,454",Charlotte FC,Charlotte,MLS,
5/17/2023,"29,016",Charlotte FC,Charlotte,MLS,
5/20/2023,"30,526",Charlotte FC,Charlotte,MLS,
6/10/2023,"31,563",Charlotte FC,Charlotte,MLS,
6/24/2023,"18,032",Charlotte FC,Charlotte,MLS,
7/8/2023,"43,613",Charlotte FC,Charlotte,MLS,
8/26/2023,"37,809",Charlotte FC,Charlotte,MLS,
8/30/2023,"27,236",Charlotte FC,Charlotte,MLS,
9/16/2023,"36,101",Charlotte FC,Charlotte,MLS,
9/20/2023,"28,584",Charlotte FC,Charlotte,MLS,
10/4/2023,"30,080",Charlotte FC,Charlotte,MLS,
10/21/2023,"66,101",Charlotte FC,Charlotte,MLS,
2/24/2024,"62,291",Charlotte FC,Charlotte,MLS,
3/23/2024,"30,104",Charlotte FC,Charlotte,MLS,
3/30/2024,"30,043",Charlotte FC,Charlotte,MLS,
4/13/2024,"31,414",Charlotte FC,Charlotte,MLS,
4/21/2024,"27,021",Charlotte FC,Charlotte,MLS,
5/4/2024,"27,495",Charlotte FC,Charlotte,MLS,
5/11/2024,"36,319",Charlotte FC,Charlotte,MLS,
5/18/2024,"29,099",Charlotte FC,Charlotte,MLS,
5/25/2024,"32,232",Charlotte FC,Charlotte,MLS,
6/15/2024,"30,468",Charlotte FC,Charlotte,MLS,
6/19/2024,"28,301",Charlotte FC,Charlotte,MLS,
3/9/2013,13242,Chicago Fire,Chicago,MLS,Yes
3/24/2013,9723,Chicago Fire,Chicago,MLS,Yes
4/7/2013,12557,Chicago Fire,Chicago,MLS,Yes
4/20/2013,12813,Chicago Fire,Chicago,MLS,Yes
5/11/2013,12205,Chicago Fire,Chicago,MLS,Yes
6/2/2013,14546,Chicago Fire,Chicago,MLS,Yes
6/8/2013,15349,Chicago Fire,Chicago,MLS,Yes
6/19/2013,11349,Chicago Fire,Chicago,MLS,Yes
7/3/2013,14815,Chicago Fire,Chicago,MLS,Yes
7/7/2013,17735,Chicago Fire,Chicago,MLS,Yes
7/20/2013,17190,Chicago Fire,Chicago,MLS,Yes
8/10/2013,17297,Chicago Fire,Chicago,MLS,Yes
8/23/2013,17085,Chicago Fire,Chicago,MLS,Yes
9/1/2013,17808,Chicago Fire,Chicago,MLS,Yes
9/14/2013,17104,Chicago Fire,Chicago,MLS,Yes
9/28/2013,18173,Chicago Fire,Chicago,MLS,Yes
10/19/2013,19889,Chicago Fire,Chicago,MLS,Yes
3/23/2014,16228,Chicago Fire,Chicago,MLS,Yes
4/5/2014,12699,Chicago Fire,Chicago,MLS,Yes
4/19/2014,15743,Chicago Fire,Chicago,MLS,Yes
5/3/2014,14903,Chicago Fire,Chicago,MLS,Yes
5/18/2014,15746,Chicago Fire,Chicago,MLS,Yes
6/1/2014,17487,Chicago Fire,Chicago,MLS,Yes
6/7/2014,16416,Chicago Fire,Chicago,MLS,Yes
7/2/2014,13153,Chicago Fire,Chicago,MLS,Yes
7/19/2014,17460,Chicago Fire,Chicago,MLS,Yes
7/30/2014,13532,Chicago Fire,Chicago,MLS,Yes
8/2/2014,14332,Chicago Fire,Chicago,MLS,Yes
8/10/2014,16109,Chicago Fire,Chicago,MLS,Yes
8/30/2014,16824,Chicago Fire,Chicago,MLS,Yes
9/13/2014,18691,Chicago Fire,Chicago,MLS,Yes
9/20/2014,17279,Chicago Fire,Chicago,MLS,Yes
10/5/2014,17915,Chicago Fire,Chicago,MLS,Yes
10/24/2014,18776,Chicago Fire,Chicago,MLS,Yes
3/14/2015,15731,Chicago Fire,Chicago,MLS,Yes
3/29/2015,12815,Chicago Fire,Chicago,MLS,Yes
4/4/2015,13818,Chicago Fire,Chicago,MLS,Yes
4/24/2015,19124,Chicago Fire,Chicago,MLS,Yes
5/9/2015,16017,Chicago Fire,Chicago,MLS,Yes
5/30/2015,15256,Chicago Fire,Chicago,MLS,Yes
6/6/2015,20124,Chicago Fire,Chicago,MLS,Yes
6/24/2015,11833,Chicago Fire,Chicago,MLS,Yes
7/11/2015,18528,Chicago Fire,Chicago,MLS,Yes
7/15/2015,14092,Chicago Fire,Chicago,MLS,Yes
7/25/2015,14159,Chicago Fire,Chicago,MLS,Yes
8/2/2015,14209,Chicago Fire,Chicago,MLS,Yes
8/22/2015,18317,Chicago Fire,Chicago,MLS,Yes
8/26/2015,11196,Chicago Fire,Chicago,MLS,Yes
9/19/2015,20280,Chicago Fire,Chicago,MLS,Yes
10/3/2015,16694,Chicago Fire,Chicago,MLS,Yes
10/25/2015,19850,Chicago Fire,Chicago,MLS,Yes
3/6/2016,17768,Chicago Fire,Chicago,MLS,Yes
3/19/2016,12605,Chicago Fire,Chicago,MLS,Yes
4/2/2016,12073,Chicago Fire,Chicago,MLS,Yes
4/16/2016,14509,Chicago Fire,Chicago,MLS,Yes
4/30/2016,13114,Chicago Fire,Chicago,MLS,Yes
5/21/2016,15363,Chicago Fire,Chicago,MLS,Yes
5/28/2016,14729,Chicago Fire,Chicago,MLS,Yes
7/1/2016,16487,Chicago Fire,Chicago,MLS,Yes
7/13/2016,13879,Chicago Fire,Chicago,MLS,Yes
7/31/2016,17221,Chicago Fire,Chicago,MLS,Yes
8/14/2016,18148,Chicago Fire,Chicago,MLS,Yes
8/24/2016,16179,Chicago Fire,Chicago,MLS,Yes
9/3/2016,16102,Chicago Fire,Chicago,MLS,Yes
9/10/2016,18391,Chicago Fire,Chicago,MLS,Yes
9/16/2016,13807,Chicago Fire,Chicago,MLS,Yes
10/13/2016,15883,Chicago Fire,Chicago,MLS,Yes
10/16/2016,18976,Chicago Fire,Chicago,MLS,Yes
3/11/2017,13024,Chicago Fire,Chicago,MLS,Yes
4/1/2017,15103,Chicago Fire,Chicago,MLS,Yes
4/8/2017,16434,Chicago Fire,Chicago,MLS,Yes
4/15/2017,16914,Chicago Fire,Chicago,MLS,Yes
5/13/2017,20153,Chicago Fire,Chicago,MLS,Yes
5/17/2017,11244,Chicago Fire,Chicago,MLS,Yes
5/25/2017,12584,Chicago Fire,Chicago,MLS,Yes
6/10/2017,18453,Chicago Fire,Chicago,MLS,Yes
6/24/2017,20000,Chicago Fire,Chicago,MLS,Yes
7/1/2017,20187,Chicago Fire,Chicago,MLS,Yes
8/5/2017,20214,Chicago Fire,Chicago,MLS,Yes
8/19/2017,21891,Chicago Fire,Chicago,MLS,Yes
8/26/2017,18048,Chicago Fire,Chicago,MLS,Yes
9/9/2017,17808,Chicago Fire,Chicago,MLS,Yes
9/16/2017,15643,Chicago Fire,Chicago,MLS,Yes
9/30/2017,20195,Chicago Fire,Chicago,MLS,Yes
10/15/2017,17616,Chicago Fire,Chicago,MLS,Yes
10/25/2017,11647,Chicago Fire,Chicago,MLS,Yes
3/10/2018,14021,Chicago Fire,Chicago,MLS,Yes
3/31/2018,13678,Chicago Fire,Chicago,MLS,Yes
4/7/2018,11023,Chicago Fire,Chicago,MLS,Yes
4/14/2018,21915,Chicago Fire,Chicago,MLS,Yes
5/5/2018,15024,Chicago Fire,Chicago,MLS,Yes
5/9/2018,10067,Chicago Fire,Chicago,MLS,Yes
5/20/2018,14206,Chicago Fire,Chicago,MLS,Yes
6/2/2018,14138,Chicago Fire,Chicago,MLS,Yes
6/9/2018,14415,Chicago Fire,Chicago,MLS,Yes
6/30/2018,15204,Chicago Fire,Chicago,MLS,Yes
7/11/2018,12008,Chicago Fire,Chicago,MLS,Yes
7/21/2018,15177,Chicago Fire,Chicago,MLS,Yes
8/11/2018,18064,Chicago Fire,Chicago,MLS,Yes
8/23/2018,8551,Chicago Fire,Chicago,MLS,Yes
9/16/2018,16287,Chicago Fire,Chicago,MLS,Yes
9/29/2018,18471,Chicago Fire,Chicago,MLS,Yes
10/28/2018,19459,Chicago Fire,Chicago,MLS,Yes
3/9/2019,11041,Chicago Fire,Chicago,MLS,Yes
3/16/2019,10032,Chicago Fire,Chicago,MLS,Yes
3/30/2019,12013,Chicago Fire,Chicago,MLS,Yes
4/12/2019,10439,Chicago Fire,Chicago,MLS,Yes
4/20/2019,12967,Chicago Fire,Chicago,MLS,Yes
5/8/2019,6074,Chicago Fire,Chicago,MLS,Yes
5/11/2019,11531,Chicago Fire,Chicago,MLS,Yes
5/25/2019,10986,Chicago Fire,Chicago,MLS,Yes
6/22/2019,15609,Chicago Fire,Chicago,MLS,Yes
7/3/2019,13476,Chicago Fire,Chicago,MLS,Yes
7/13/2019,13127,Chicago Fire,Chicago,MLS,Yes
7/17/2019,7482,Chicago Fire,Chicago,MLS,Yes
7/27/2019,18232,Chicago Fire,Chicago,MLS,Yes
8/10/2019,11002,Chicago Fire,Chicago,MLS,Yes
8/17/2019,14883,Chicago Fire,Chicago,MLS,Yes
